,fatalCVD,fatalNONCVD,firsteventMI,MIdiabetes,firsteventMI2,MIdiabetes2,firsteventMI3,MIdiabetes3,firsteventMI4,MIdiabetes4,feMI,feMIdiabetes,firsteventStroke_I,firsteventStroke_I2,firsteventStroke_I3,firsteventStroke_I4,feSTROKE_I,firsteventStroke_H,firsteventStroke_H2,firsteventStroke_H3,firsteventStroke_H4,feSTROKE_H,age0,timeperiod,diabetes,hist_liver,hist_hf,hist_af,hist_pad,hist_copd,hist_cancer,hist_renal,sex,CHD,NSTEMI,STEMI,UA,_cons
firsteventStroke_I,0.113510534,0.127441466,0.055446073,0.035029996,0.050243687,0.031271845,0.046185736,0.028306829,0.044186428,0.026534867,0.174178973,0.092954278,30.9444313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I2,-0.367140114,-0.424695343,0.058733098,0.036098152,0.053779583,0.032513358,0.049840678,0.029675081,0.04795919,0.028047765,0.193896189,0.100847401,2.514578819,32.58969116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I3,-0.234856829,-0.18750751,0.061890285,0.037551675,0.057177827,0.034090314,0.053348348,0.031323642,0.051567774,0.029793758,0.212554917,0.109131202,2.504363775,2.437725306,35.1166954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I4,-0.184416503,-0.199133977,0.065220982,0.03914658,0.060598947,0.035729937,0.056785911,0.032977048,0.055069692,0.031506434,0.230259329,0.117014989,2.515582085,2.448853016,2.451365471,36.82600403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feSTROKE_I,-0.229840338,-0.163472757,0.094407886,0.05347063,0.089743309,0.049942557,0.085522689,0.046959303,0.084020652,0.045758396,0.370997727,0.180282831,2.652484894,2.583244562,2.585165739,2.533802748,16.04111099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H,0.105909847,0.112053871,0.053765804,0.02991472,0.048667587,0.026874987,0.044705208,0.024400204,0.042699322,0.023023065,0.166115105,0.081851184,0.055821996,0.051776037,0.047235902,0.044790141,0.154059082,107.7301102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H2,-0.428620189,-0.488205999,0.053946558,0.030353174,0.049470749,0.027666623,0.046010301,0.025419544,0.04437435,0.02419419,0.180606261,0.08876539,0.058614887,0.054926716,0.05057814,0.048305094,0.170018435,8.893677711,118.948082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H3,-0.600210905,-0.155848861,0.056620799,0.030789543,0.052629121,0.02848497,0.049400777,0.026504936,0.047904104,0.025458299,0.199711964,0.096218951,0.061477672,0.058148153,0.054009512,0.05186392,0.186094746,8.635293961,8.805642128,132.8793488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H4,0.008701951,-0.070366912,0.0599945,0.02931544,0.056219228,0.027573569,0.05305507,0.025959589,0.051686756,0.025305325,0.219064862,0.099362887,0.06475769,0.061707791,0.057633948,0.055563614,0.202582523,8.509503365,8.677330017,9.023674965,141.2061462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feSTROKE_H,-0.261391759,-0.125630274,0.089704998,0.04219228,0.085757509,0.040641595,0.082145542,0.038922038,0.080908835,0.038595945,0.358156651,0.159504503,0.097292051,0.094326511,0.089326836,0.086980827,0.328931957,9.08028698,9.258885384,9.627901077,9.580400467,59.81227875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age0,-0.009813154,-0.010933467,-0.002459295,-0.001021037,-0.001514527,-0.000723278,-0.000990745,-0.000526213,-0.000811361,-0.000357635,-0.001605482,-0.000848731,-0.003697965,-0.002981091,-0.002372049,-0.002068039,-0.005176534,-0.00092836,-0.00067958,-0.00039663,-0.000301784,-0.000817973,0.317557991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timeperiod,-0.004396619,-0.006901333,-0.00369825,-0.001794665,-0.003815342,-0.001838575,-0.003841884,-0.001849418,-0.00393441,-0.001927005,-0.020303454,-0.00905841,-0.004439456,-0.004556361,-0.004501563,-0.004519331,-0.018861724,-0.001134039,-0.001120897,-0.001090428,-0.001109482,-0.004779845,0.004177065,0.150338992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diabetes,-0.053492047,-0.020780608,0.161942899,-0.454031348,0.136701509,-0.388847023,0.118096359,-0.339571208,0.105491146,-0.301782161,0.264246017,-0.812453091,-0.033672594,-0.027332449,-0.024654608,-0.022431418,-0.05298302,-0.002617808,-0.004727751,-0.003822705,0.000362007,0.003351966,0.269801348,0.107568979,10.35910225,0,0,0,0,0,0,0,0,0,0,0,0,0
hist_liver,-0.066583119,-0.261245072,-0.020044265,-0.042994402,0.003367142,-0.020033889,-0.005167391,-0.011171421,-0.008212097,0.000866703,0.00147682,-0.055443488,-0.027658844,-0.027318947,-0.026194358,-0.013054937,0.012026283,0.017934782,0.023165245,0.018642869,0.015027896,0.037351951,1.037469387,0.196057245,-1.090222716,38.64453888,0,0,0,0,0,0,0,0,0,0,0,0
hist_hf,-0.215986684,-0.155413195,-0.028764984,-0.028246405,-0.019235618,-0.018772334,-0.014268219,-0.010777183,-0.010110975,-0.007373753,-0.02611015,-0.032618027,-0.0285044,-0.020781927,-0.015027269,-0.014822515,-0.036807641,0.003311133,0.001246904,0.000236434,0.004403226,0.014864447,-1.925514579,0.15677014,-0.684903979,-0.18477805,9.058015823,0,0,0,0,0,0,0,0,0,0,0
hist_af,-0.079431444,-0.054219756,0.004562097,0.01182909,0.002575568,0.005795721,0.007677167,0.006729547,0.006814259,0.0072451,0.015268817,0.026108146,-0.060604379,-0.048161011,-0.035842806,-0.029593337,-0.08024618,-0.028899563,-0.01819176,-0.017674116,-0.01817224,-0.061584134,-1.685656667,0.174381107,0.194268271,-0.054815784,-2.388796806,10.49254799,0,0,0,0,0,0,0,0,0,0
hist_pad,-0.116305552,-0.078175873,-0.064757757,-0.053059902,-0.053120334,-0.03714129,-0.043951783,-0.036001198,-0.038765009,-0.029811485,-0.084916048,-0.055693381,-0.037306387,-0.035528131,-0.028537823,-0.028492339,-0.075770758,0.004537301,0.002612595,0.00031585,0.001054413,0.007133215,-0.824246883,0.0915635,-0.833642006,-0.072183222,-0.920977533,-0.487472445,13.43915653,0,0,0,0,0,0,0,0,0
hist_copd,0.001602585,-0.091028631,-0.018866032,-0.006544326,-0.016584441,-0.007245484,-0.011128583,-0.004372831,-0.010858148,-0.004007747,-0.029551983,0.002046603,0.002752262,0.003888122,0.000425241,-0.000774525,-0.005843951,0.002473103,0.000989035,0.001809754,-0.000951861,-0.005379124,0.174360275,0.071478769,-0.126554012,-0.145578235,-1.021994472,-0.27140528,-0.362842351,8.718896866,0,0,0,0,0,0,0,0
hist_cancer,0.009500171,-0.368629694,-0.01166348,0.002601523,-0.00943494,0.003232183,-0.003407221,0.002469948,-0.00234957,0.005680661,-0.005826227,0.01891847,0.012173207,0.004302996,0.00350604,0.004457657,0.003023767,0.010209718,0.006983467,0.004091365,0.00511215,0.005645216,-1.840279341,0.200708896,0.042524081,-0.077954583,-0.511891067,-0.575635493,-0.243121311,-0.236424565,13.17957783,0,0,0,0,0,0,0
hist_renal,-0.066457078,-0.055629995,-0.007363442,-0.039513595,-0.002685654,-0.015769361,0.000984757,-0.003344842,-0.00017747,-0.0067447,-0.000692036,-0.002231792,0.019976478,0.014680183,0.018883634,0.019035803,0.024747979,-0.016297905,-0.010067357,0.00321325,-0.00183573,0.001002416,-0.965899825,0.585825264,-1.616675377,-0.174116939,-1.969594002,-1.103229284,-1.023832321,-0.475702286,-0.765788376,15.72711372,0,0,0,0,0,0
sex,0.056743558,0.050757725,0.033268973,0.012852056,0.02824668,0.009014918,0.025165036,0.008989545,0.022020862,0.006721035,0.067913614,0.027631301,0.00702413,0.005277227,0.005417902,0.004375691,0.013753522,0.012289075,0.009862277,0.009715814,0.004451092,0.005076645,-1.342608094,0.003500361,0.260204613,0.102334164,-0.877988219,0.002664489,0.238499224,-0.390661657,-0.071732216,-0.095582068,7.461124897,0,0,0,0,0
CHD,-0.029281918,0.034216966,-0.038958501,-0.010961909,-0.033760637,-0.009685944,-0.03167877,-0.008811965,-0.029499684,-0.008844347,-0.067509435,-0.022134928,-0.001825797,-0.004161262,-0.003159341,-0.002913832,-0.013894419,-0.000104958,0.001987525,0.001869904,-0.00220004,-0.010919379,-0.704014897,-0.148474306,-0.14705576,0.127464056,-0.651215017,0.037757277,-0.483874261,0.19495222,-0.074163131,0.064956516,1.116147518,9.258712769,0,0,0,0
NSTEMI,-0.172565252,-0.038085047,-0.197560117,-0.153592944,-0.181776062,-0.126898974,-0.160400376,-0.109227538,-0.143104434,-0.102819026,-0.358687222,-0.288900793,-0.002575139,-0.006673462,-0.010930454,-0.009878783,-0.042722397,0.005523207,0.018628916,0.013472099,0.011266178,0.010483871,-1.207284927,0.246397331,-0.501452267,-0.070921361,-0.633056521,-0.883049905,-0.841227531,-0.107370451,-0.340923995,-1.00343883,0.935808957,3.035440683,13.08965111,0,0,0
STEMI,-0.025224188,-0.000533643,-0.142666355,-0.051113684,-0.132593602,-0.046406463,-0.121965021,-0.042726748,-0.110897973,-0.03615813,-0.270341247,-0.106519043,0.008412699,0.00793824,0.00868784,0.006888099,0.020777281,0.016132588,0.018030303,0.01464205,0.011029811,0.01099366,0.844407797,0.194730669,0.187415034,-0.033170965,0.78057009,0.595350146,0.179259792,0.455400527,0.335671723,0.05815243,1.946872354,3.035387754,0.842110038,15.25874043,0,0
UA,-0.038463049,-0.002186442,-0.068315484,-0.028295452,-0.056800459,-0.027488947,-0.052434433,-0.024068078,-0.048091676,-0.018703481,-0.120944165,-0.047317337,-0.017692596,-0.018652478,-0.017650858,-0.017847015,-0.056040172,-0.008714236,-0.004122769,0.001002972,0.003425724,-0.006071437,0.103885271,0.001584635,-0.11755912,-0.104973972,-0.529191196,-0.269891828,-0.433556765,-0.275103986,-0.073517106,-0.145045459,0.422839761,3.035420418,1.443074822,1.158459067,10.70564938,0
_cons,-0.060005296,-0.060941532,-0.070633635,0.045347955,-0.052439839,0.041555908,-0.041754194,0.036446221,-0.032444287,0.035345372,0.005334194,0.131260276,-0.041560415,-0.027832335,-0.018863929,-0.010999976,0.053266156,-0.022819113,-0.018791188,-0.01441916,-0.008850075,0.006744751,2.142777205,-1.758733273,-1.262598872,-0.292470127,-0.785778582,-1.236315727,-0.807063222,-1.814858675,-1.000820518,-0.774492145,-3.830281496,-3.035420418,-1.443267822,-1.158182025,-1.444644451,3.657718182
